Rank,Mountain peak,Mountain range,Elevation,Prominence,Isolation,Latitude,Longitude
1,Kings Peak,Uinta Mountains,"13,534 ft4125 m","6,358 ft1938 m",166.6 mi268 km,40.7763,-110.3729
2,Mount Peale,La Sal Mountains,"12,726 ft3879 m","6,181 ft1884 m",72.8 mi117.1 km,38.4385,-109.2292
3,Mount Waas,La Sal Mountains,"12,316 ft3753.8 m","1,793 ft547 m",5.24 mi8.43 km,38.5391,-109.2278
4,Delano Peak,Tushar Mountains,"12,174 ft3710.7 m","4,709 ft1435 m",112.1 mi180.5 km,38.3692,-112.3714
5,Ibapah Peak,Deep Creek Range,"12,092 ft3686 m","5,267 ft1605 m",61.2 mi98.5 km,39.8282,-113.92
6,Bald Mountain,Uinta Mountains,"11,948 ft3642 m","1,843 ft562 m",4.01 mi6.45 km,40.6989,-110.9031
7,Mount Nebo,Wasatch Range,"11,933 ft3637 m","5,508 ft1679 m",75.6 mi121.6 km,39.8219,-111.7603
8,South Mountain,La Sal Mountains,"11,822 ft3603 m","1,679 ft512 m",2.65 mi4.26 km,38.4011,-109.2615
9,Mount Timpanogos,Wasatch Range,"11,752 ft3582 m","5,279 ft1609 m",39.6 mi63.8 km,40.3908,-111.6459
10,Fish Lake Hightop,Fish Lake Plateau,"11,639 ft3547.5 m","4,157 ft1267 m",35.5 mi57.1 km,38.608,-111.7394
11,Mount Marvine,Fish Lake Plateau,"11,604 ft3537 m","1,870 ft570 m",6.75 mi10.86 km,38.6682,-111.6411
12,Mount Hilgard,Fish Lake Plateau,"11,538 ft3517 m","2,103 ft641 m",5.37 mi8.65 km,38.6841,-111.5438
13,Mount Ellen Peak,Henry Mountains,"11,527 ft3513 m","5,862 ft1787 m",56 mi90.2 km,38.1089,-110.8136
14,Twin Peaks,Wasatch Range,"11,494 ft3503 m","3,669 ft1118 m",11.12 mi17.89 km,40.5518,-111.6566
15,Mount Pennell,Henry Mountains,"11,413 ft3478.7 m","3,588 ft1094 m",8.02 mi12.9 km,37.9564,-110.7908
