rank,mtn_peak,mtn_range,elev_ft,elev_m,prom_ft,prom_m,isol_mi,isol_km,latitude,longitude
1,Kings Peak,Uinta Mountains,13534.0,4125.0,6358.0,1938.0,166.6,268.0,40.7763,-110.3729
2,Mount Peale,La Sal Mountains,12726.0,3879.0,6181.0,1884.0,72.8,117.1,38.4385,-109.2292
3,Mount Waas,La Sal Mountains,12316.0,3753.8,1793.0,547.0,5.24,8.43,38.5391,-109.2278
4,Delano Peak,Tushar Mountains,12174.0,3710.7,4709.0,1435.0,112.1,180.5,38.3692,-112.3714
5,Ibapah Peak,Deep Creek Range,12092.0,3686.0,5267.0,1605.0,61.2,98.5,39.8282,-113.92
6,Bald Mountain,Uinta Mountains,11948.0,3642.0,1843.0,562.0,4.01,6.45,40.6989,-110.9031
7,Mount Nebo,Wasatch Range,11933.0,3637.0,5508.0,1679.0,75.6,121.6,39.8219,-111.7603
8,South Mountain,La Sal Mountains,11822.0,3603.0,1679.0,512.0,2.65,4.26,38.4011,-109.2615
9,Mount Timpanogos,Wasatch Range,11752.0,3582.0,5279.0,1609.0,39.6,63.8,40.3908,-111.6459
10,Fish Lake Hightop,Fish Lake Plateau,11639.0,3547.5,4157.0,1267.0,35.5,57.1,38.608,-111.7394
11,Mount Marvine,Fish Lake Plateau,11604.0,3537.0,1870.0,570.0,6.75,10.86,38.6682,-111.6411
12,Mount Hilgard,Fish Lake Plateau,11538.0,3517.0,2103.0,641.0,5.37,8.65,38.6841,-111.5438
13,Mount Ellen Peak,Henry Mountains,11527.0,3513.0,5862.0,1787.0,56.0,90.2,38.1089,-110.8136
14,Twin Peaks,Wasatch Range,11494.0,3503.0,3669.0,1118.0,11.12,17.89,40.5518,-111.6566
15,Mount Pennell,Henry Mountains,11413.0,3478.7,3588.0,1094.0,8.02,12.9,37.9564,-110.7908
16,Abajo Peak,Abajo Mountains,11362.0,3463.0,4555.0,1388.0,39.9,64.2,37.8395,-109.4624
17,Bluebell Knoll,Aquarius Plateau,11346.0,3458.0,2930.0,893.0,32.6,52.5,38.1594,-111.5004
18,Circleville Mountain,Tushar Mountains,11336.0,3455.3,1671.0,509.0,11.05,17.79,38.1964,-112.402
19,Brian Head,Markagunt Plateau,11312.0,3448.0,3767.0,1148.0,42.5,68.5,37.6812,-112.8312
20,Thousand Lake Mountain,Fish Lake Plateau,11300.0,3444.3,2366.0,721.0,17.81,28.7,38.4171,-111.4793
21,South Tent Mountain,Wasatch Plateau,11288.0,3440.5,3385.0,1032.0,35.8,57.5,39.3922,-111.3576
22,Monroe Peak,Sevier Plateau,11232.0,3423.6,4117.0,1255.0,17.17,27.6,38.5361,-112.0734
23,Glenwood Mountain,Sevier Plateau,11220.0,3420.0,1846.0,563.0,6.9,11.11,38.6253,-112.0157
24,Provo Peak,Wasatch Range,11072.0,3375.0,3448.0,1051.0,10.54,16.97,40.2443,-111.557
25,Mount Dutton,Sevier Plateau,11047.0,3367.2,3411.0,1040.0,15.76,25.4,38.0206,-112.2173
26,Deseret Peak,Stansbury Mountains,11035.0,3364.0,5812.0,1772.0,46.0,74.0,40.4595,-112.6264
27,Bald Mountain,Wasatch Range,10920.0,3328.3,1713.0,522.0,2.71,4.36,39.8772,-111.7581
28,Rocky Peak,Deep Creek Range,10753.0,3277.0,1823.0,556.0,4.42,7.11,39.9116,-113.8974
29,Mount Hillers,Henry Mountains,10741.0,3274.0,3357.0,1023.0,7.0,11.27,37.8874,-110.697
30,Loafer Mountain,Wasatch Range,10689.0,3258.0,2905.0,885.0,10.22,16.45,39.9833,-111.6237
31,Flat Top Mountain,Oquirrh Mountains,10624.0,3238.0,5383.0,1641.0,23.8,38.4,40.3724,-112.1888
32,Signal Peak,Pine Valley Mountains,10369.0,3161.0,4505.0,1373.0,35.0,56.3,37.3195,-113.4922
33,Navajo Mountain,Colorado Plateau,10348.0,3154.2,4236.0,1291.0,58.6,94.3,37.0343,-110.8697
34,Strawberry Peak,Roan Cliffs,10341.0,3152.0,2338.0,713.0,19.46,31.3,40.047,-110.9847
35,Mine Camp Peak,Pavant Range,10227.0,3117.0,3001.0,915.0,20.1,32.3,38.8737,-112.2534
36,Spanish Fork Peak,Wasatch Range,10196.0,3107.6,2972.0,906.0,8.83,14.21,40.0879,-111.5277
37,Bruin Point,Roan Cliffs,10187.0,3105.0,2724.0,830.0,42.9,69.1,39.6442,-110.3482
38,Salt Benchmark,San Pitch Mountains,10001.0,3048.4,3697.0,1127.0,10.13,16.3,39.6649,-111.7432
39,Shay Mountain,Abajo Mountains,9993.0,3046.0,1649.0,503.0,6.19,9.96,37.9355,-109.5489
40,Naomi Peak,Wasatch Range,9984.0,3043.0,3169.0,966.0,61.5,98.9,41.9114,-111.6754
41,Bull Mountain,Raft River Mountains,9938.0,3029.0,3754.0,1144.0,24.3,39.2,41.91,-113.3659
42,Raft River Peak,Raft River Mountains,9931.0,3027.0,3740.0,1140.0,23.9,38.5,41.9048,-113.3888
43,Dry Mountain,Wasatch Range,9869.0,3008.0,1845.0,562.0,4.59,7.39,39.9406,-111.7316
44,Indian Peak,Indian Peak Range,9795.0,2985.0,3660.0,1116.0,39.6,63.7,38.267,-113.8753
45,Willard Peak,Wasatch Range,9771.0,2978.1,3263.0,995.0,39.4,63.5,41.3828,-111.9746
46,Logan Peak,Bear River Mountains,9719.0,2962.2,2995.0,913.0,13.83,22.3,41.7135,-111.7177
47,Fool Creek Peak,Canyon Mountains,9717.0,2961.7,3732.0,1138.0,23.1,37.3,39.3926,-112.2072
48,Thurston Peak,Wasatch Range,9710.0,2959.68,2697.0,822.0,20.2,32.6,41.082,-111.8516
49,Swasey Peak,House Range,9675.0,2949.0,4529.0,1380.0,40.7,65.5,39.3882,-113.3164
50,Frisco Peak,San Francisco Mountains,9663.0,2945.25,4040.0,1231.0,36.3,58.4,38.5204,-113.2876
