Rank,Mountain peak,Mountain range,Elevation,Prominence,Isolation,Location
1,Kings Peak[6][7][8][a][b],Uinta Mountains,"13,534 ft4125 m","6,358 ft1938 m",166.6 mi268 km,40°46′35″N110°22′22″W﻿ / ﻿40.7763°N 110.3729°W﻿ /40.7763; -110.3729﻿ (Kings Peak)
2,Mount Peale[9][10][11][12][c],La Sal Mountains,"12,726 ft3879 m","6,181 ft1884 m",72.8 mi117.1 km,38°26′19″N109°13′45″W﻿ / ﻿38.4385°N 109.2292°W﻿ /38.4385; -109.2292﻿ (Mount Peale)
3,Mount Waas[13][14][15][16],La Sal Mountains,"12,316 ft3753.8 m","1,793 ft547 m",5.24 mi8.43 km,38°32′21″N109°13′40″W﻿ / ﻿38.5391°N 109.2278°W﻿ /38.5391; -109.2278﻿ (Mount Waas)
4,Delano Peak[17][18][19][20][d],Tushar Mountains,"12,174 ft3710.7 m","4,709 ft1435 m",112.1 mi180.5 km,38°22′09″N112°22′17″W﻿ / ﻿38.3692°N 112.3714°W﻿ /38.3692; -112.3714﻿ (Delano Peak)
5,Ibapah Peak[21][22][23][e][f],Deep Creek Range,"12,092 ft3686 m","5,267 ft1605 m",61.2 mi98.5 km,39°49′42″N113°55′12″W﻿ / ﻿39.8282°N 113.9200°W﻿ /39.8282; -113.9200﻿ (Ibapah Peak)
6,Bald Mountain[24][25][26][27][g],Uinta Mountains,"11,948 ft3642 m","1,843 ft562 m",4.01 mi6.45 km,40°41′56″N110°54′11″W﻿ / ﻿40.6989°N 110.9031°W﻿ /40.6989; -110.9031﻿ (Bald Mountain)
7,Mount Nebo[28][29][30][h][i],Wasatch Range,"11,933 ft3637 m","5,508 ft1679 m",75.6 mi121.6 km,39°49′19″N111°45′37″W﻿ / ﻿39.8219°N 111.7603°W﻿ /39.8219; -111.7603﻿ (Mount Nebo)
8,South Mountain[31][32][33][j],La Sal Mountains,"11,822 ft3603 m","1,679 ft512 m",2.65 mi4.26 km,38°24′04″N109°15′41″W﻿ / ﻿38.4011°N 109.2615°W﻿ /38.4011; -109.2615﻿ (South Mountain)
9,Mount Timpanogos[34][35][36][37][k],Wasatch Range,"11,752 ft3582 m","5,279 ft1609 m",39.6 mi63.8 km,40°23′27″N111°38′45″W﻿ / ﻿40.3908°N 111.6459°W﻿ /40.3908; -111.6459﻿ (Mount Timpanogos)
10,Fish Lake Hightop[38][39][40][l],Fish Lake Plateau,"11,639 ft3547.5 m","4,157 ft1267 m",35.5 mi57.1 km,38°36′29″N111°44′22″W﻿ / ﻿38.6080°N 111.7394°W﻿ /38.6080; -111.7394﻿ (Fish Lake Hightop)
