mtn_id,mtn_name,mtn_range,elev_ft,elev_m,prom_ft,prom_m,isol_mi,isol_km,latitude,longitude,timezone
001,Kings Peak,Uinta Mountains,13529,4123.6,6349,1935,166.6,268.0,40.7764,-110.373,America/Denver
002,South Kings Peak,Uinta Mountains,13517,4119.9,352,107,0.8,1.29,40.7659,-110.3779,America/Denver
003,Gilbert Peak,Uinta Mountains,13447,4098.6,1559,475,3.6,5.79,40.8235,-110.34,America/Denver
004,Mount Emmons,Uinta Mountains,13445,4098.0,913,278,5.4,8.69,40.7118,-110.3038,America/Denver
005,Painter Peak,Uinta Mountains,13389,4081.0,317,97,1.3,2.09,40.7531,-110.3589,America/Denver
006,Roberts Peak,Uinta Mountains,13297,4052.9,560,171,1.6,2.57,40.7356,-110.3392,America/Denver
007,Henrys Fork Peak,Uinta Mountains,13273,4045.6,553,169,1.1,1.77,40.7879,-110.3898,America/Denver
008,Gunsight Peak,Uinta Mountains,13271,4045.0,637,194,1.4,2.25,40.8034,-110.3528,America/Denver
009,Trail Rider Peak,Uinta Mountains,13255,4040.0,357,109,0.7,1.13,40.7422,-110.3526,America/Denver
010,Mount Lovenia,Uinta Mountains,13224,4030.6,1477,450,11.6,18.67,40.7568,-110.6071,America/Denver
011,Tokewanna Peak,Uinta Mountains,13169,4013.9,1291,393,3.8,6.12,40.81,-110.6237,America/Denver
012,Wasatch Peak,Uinta Mountains,13159,4011.0,862,263,1.8,2.9,40.7833,-110.6238,America/Denver
013,Mount Powell,Uinta Mountains,13156,4009.9,813,248,0.2,0.32,40.7953,-110.4249,America/Denver
014,Dome Peak,Uinta Mountains,13100,3993.0,644,196,0.9,1.45,40.7927,-110.3667,America/Denver
015,Pinnacle Peak,Uinta Mountains,13090,3989.8,479,146,0.8,1.29,40.7225,-110.3178,America/Denver
016,Wilson Peak,Uinta Mountains,13058,3980.0,1305,398,2.2,3.54,40.7759,-110.4617,America/Denver
017,Quandary Peak,Uinta Mountains,13037,3973.6,821,250,1.2,1.93,40.7627,-110.5832,America/Denver
018,Squaw Benchmark,Uinta Mountains,12995,3960.8,819,250,1.6,2.57,40.7858,-110.4903,America/Denver
019,Porcupine Mountain,Uinta Mountains,12890,3929.0,662,202,0.9,1.45,40.7616,-110.4734,America/Denver
020,Central Blacks Fork Peak,Uinta Mountains,12867,3922.0,1060,323,2.1,3.38,40.7798,-110.5491,America/Denver
021,Kweeyahgut Peak,Uinta Mountains,12860,3919.7,982,299,4.2,6.76,40.7004,-110.6433,America/Denver
022,South Red Castle Peak,Uinta Mountains,12828,3910.0,500,152,1.0,1.61,40.7906,-110.4605,America/Denver
023,Moose Peak,Uinta Mountains,12799,3901.0,489,149,2.0,3.22,40.8173,-110.5007,America/Denver
024,East Wilson Peak,Uinta Mountains,12775,3893.8,431,131,0.6,0.97,40.7702,-110.4514,America/Denver
025,South Blacks Fork Peak,Uinta Mountains,12772,3893.0,350,107,0.5,0.8,40.7737,-110.547,America/Denver
026,Northwest Blacks Fork Peak,Uinta Mountains,12751,3886.5,317,97,0.7,1.13,40.7967,-110.5578,America/Denver
027,South Burro Peak,Uinta Mountains,12733,3881.0,798,243,7.1,11.43,40.8319,-110.1827,America/Denver
028,South Porcupine Mountain,Uinta Mountains,12730,3880.0,398,121,0.7,1.13,40.7535,-110.4828,America/Denver
029,Mount Peale,La Sal Mountains,12726,3879.0,6167,1880,72.8,117.2,38.4385,-109.2292,America/Denver
030,LaMotte Peak,Uinta Mountains,12726,3879.0,1149,350,6.0,9.66,40.7737,-110.752,America/Denver
031,Ostler Peak,Uinta Mountains,12725,3878.5,1175,358,2.1,3.38,40.7466,-110.7689,America/Denver
032,Explorer Peak,Uinta Mountains,12713,3875.0,709,216,1.2,1.93,40.7183,-110.6439,America/Denver
033,Yard Peak,Uinta Mountains,12710,3874.0,1105,337,2.5,4.02,40.7527,-110.7134,America/Denver
034,Stone Benchmark,Uinta Mountains,12710,3874.0,644,196,1.8,2.9,40.7336,-110.5056,America/Denver
035,North Timothy Peak,Uinta Mountains,12696,3869.7,407,124,1.0,1.61,40.7281,-110.3736,America/Denver
036,Red Castle,Uinta Mountains,12676,3863.6,460,140,0.5,0.8,40.7987,-110.4658,America/Denver
037,East Burnt Fork Peak,Uinta Mountains,12673,3862.7,1369,417,4.1,6.6,40.8109,-110.109,America/Denver
038,South Timothy Peak,Uinta Mountains,12654,3856.9,464,141,0.9,1.45,40.7156,-110.3766,America/Denver
039,Mount Mellenthin,La Sal Mountains,12651,3856.0,689,210,1.7,2.74,38.4633,-109.2339,America/Denver
040,North Allsop Peak,Uinta Mountains,12635,3851.0,981,299,2.1,3.38,40.7733,-110.6828,America/Denver
041,Dead Horse Peak,Uinta Mountains,12631,3850.0,743,226,1.3,2.09,40.7433,-110.6927,America/Denver
042,Cleveland Peak,Uinta Mountains,12595,3838.9,385,117,0.9,1.45,40.6875,-110.6297,America/Denver
043,Mount Beulah,Uinta Mountains,12561,3828.5,728,222,1.4,2.25,40.794,-110.682,America/Denver
044,Meadow Peak,Uinta Mountains,12551,3825.5,551,168,2.0,3.22,40.7493,-110.6471,America/Denver
045,Spread Eagle Peak,Uinta Mountains,12546,3824.0,838,255,1.1,1.77,40.7297,-110.7836,America/Denver
046,Oweep Peak,Uinta Mountains,12536,3821.0,469,143,1.2,1.93,40.764,-110.5156,America/Denver
047,Cleve Peak,Uinta Mountains,12526,3817.9,1144,349,3.2,5.15,40.7653,-110.136,America/Denver
048,Val Benchmark Peak,Uinta Mountains,12512,3813.6,784,239,2.7,4.35,40.7606,-110.2887,America/Denver
049,South Yard Peak,Uinta Mountains,12503,3810.9,420,128,0.5,0.8,40.7455,-110.7214,America/Denver
050,Mount Tukuhnikivatz,La Sal Mountains,12484,3805.0,756,230,1.5,2.41,38.4395,-109.2598,America/Denver
051,Spanish Fork Peak,Wasatch Range,10196,3107,2972,906,8.83,14.21,40.0883,-111.5277,America/Denver
052,Mount Timpanogos,Wasatch Range,11752,3582,5279,1609,39.6,63.8,40.3908,-111.6458,America/Denver
